,x,y,avgE,stdE,avgFx,avgFy,stdFx,stdFy,loss,type,generation,E_1,E_2,E_3,E_4,E_5,Fx_1,Fx_2,Fx_3,Fx_4,Fx_5,Fy_1,Fy_2,Fy_3,Fy_4,Fy_5
414,-0.86287624,-1.103679,2.4143834,0.084407024,6.092946,22.907093,0.47892088,0.2586321,0.05261438,contour,2,2.5200086,2.2936082,2.4186945,2.3832228,2.4563951,6.1103964,5.318663,6.5882125,6.0855856,6.3618464,23.308992,22.775723,22.645752,23.00359,22.801395
415,-0.83879596,-1.103679,2.2851195,0.07687877,4.652967,22.983942,0.39441955,0.27095398,0.041731913,contour,2,2.3884268,2.181697,2.2798593,2.254403,2.3212066,4.8179817,3.984447,4.963274,4.620749,4.8783417,23.403856,22.908022,22.674347,23.053751,22.879726
416,-0.81471574,-1.103679,2.1898074,0.06969428,3.2735016,23.048883,0.34214705,0.2822175,0.036540415,contour,2,2.2879515,2.101292,2.17866,2.160269,2.2208734,3.528046,2.7024746,3.462271,3.2077298,3.466961,23.47938,23.020267,22.701427,23.093185,22.950172
417,-0.79063547,-1.103679,2.1269443,0.062884554,1.9590206,23.103687,0.3036117,0.29139447,0.033311967,contour,2,2.218438,2.0510795,2.1121216,2.0994139,2.1536632,2.24783,1.4781504,2.0845017,1.8579259,2.1266785,23.539452,23.113796,22.72794,23.12352,23.01374
418,-0.7665552,-1.103679,2.094917,0.056742117,0.7124636,23.15028,0.26535252,0.2984865,0.030196985,contour,2,2.1795604,2.0296032,2.077331,2.070202,2.1178854,0.98462653,0.316152,0.82388395,0.5809648,0.8566817,23.588644,23.190098,22.754816,23.146461,23.0714
419,-0.7424749,-1.103679,2.0920691,0.051684905,-0.4642207,23.190662,0.22339727,0.3040256,0.026962122,contour,2,2.1708145,2.0353212,2.0715775,2.07079,2.1118472,-0.2535254,-0.77957225,-0.32892743,-0.61559165,-0.34351158,23.631948,23.250683,22.782982,23.16367,23.124035
420,-0.71839464,-1.103679,2.1167018,0.04820848,-1.5697181,23.226759,0.1845451,0.30891937,0.024407523,contour,2,2.191496,2.066593,2.0923967,2.0991633,2.133869,-1.4575363,-1.8057995,-1.3848132,-1.7264423,-1.4740181,23.674416,23.296993,22.813322,23.176659,23.172398
421,-0.69431436,-1.103679,2.1670907,0.046809822,-2.6031418,23.260307,0.16754462,0.3143713,0.023679938,contour,2,2.2406576,2.121712,2.1375828,2.153223,2.1822765,-2.6175618,-2.7600722,-2.354919,-2.748538,-2.5346565,23.720734,23.330357,22.846628,23.186699,23.217125
422,-0.6702341,-1.103679,2.241491,0.04784396,-3.5640817,23.292782,0.19062516,0.32179075,0.025717754,contour,2,2.317126,2.1989238,2.2052078,2.230814,2.2553768,-3.7239332,-3.6407166,-3.2498717,-3.6809723,-3.5249546,23.774948,23.35191,22.883602,23.194754,23.258673
423,-0.64615387,-1.103679,2.3381577,0.051457513,-4.452693,23.325272,0.24720071,0.33278924,0.030990278,contour,2,2.419508,2.29645,2.2935724,2.3297865,2.351471,-4.7684174,-4.4467983,-4.079262,-4.5247736,-4.444256,23.840141,23.362614,22.924772,23.201439,23.297363
424,-0.6220736,-1.103679,2.4553566,0.05758558,-5.2698383,23.35847,0.3202118,0.34908655,0.03952718,contour,2,2.5462363,2.4124892,2.4012084,2.4480388,2.46884,-5.745278,-5.1781354,-4.8514514,-5.2825766,-5.2917843,23.918264,23.36319,22.970552,23.207026,23.33334
425,-0.5979933,-1.103679,2.5913937,0.06602145,-6.0171256,23.392689,0.39961264,0.37226242,0.05112952,contour,2,2.695639,2.5452385,2.5268188,2.5835404,2.6057403,-6.6519117,-5.8352804,-5.5734844,-5.9582853,-6.066697,24.01014,23.354147,23.021164,23.211414,23.366596
426,-0.57391304,-1.103679,2.7446055,0.07655813,-6.6968575,23.427856,0.4815291,0.4035268,0.065618545,contour,2,2.8660338,2.6929336,2.6692736,2.734373,2.7604244,-7.4887977,-6.419536,-6.2511272,-6.5567026,-6.7681637,24.115578,23.335781,23.076696,23.214212,23.397
